ObjID;NameID;Product_ObjID;QuotationCurrency;QuotationType_ID;StockExchange_ID;TradeMinimum;TradeMultiplicator;ClassName;Created;CreatedBy;LockID;Modified;ModifiedBy
31B2CE4D-B479-43C3-91BC-1FF9965AC95E;5;46637D28-975D-41EE-9169-CBB2E4D4E79C;EUR;1;4;1.000000;1.000000;BAPMSProdCatB.CQuotation;2019-12-20 15:53:43.540;dsUser;520AFD43-CF5D-4852-8A0D-51370ABBC81D;2019-12-20 15:53:43.540;dsUser
276ED8DF-63DD-4A85-8594-F3DD14411C2A;5;EFDAC1CA-7273-49AF-A634-3E2C4781B3B9;EUR;1;4;1.000000;1.000000;BAPMSProdCatB.CQuotation;2019-12-20 15:53:43.557;dsUser;0ED83B08-662C-4A54-983E-27A845126C64;2019-12-20 15:53:43.557;dsUser
C0DEFCB5-2C31-4022-9BEB-3D0B7F16C464;5;8EFB2043-289A-42BB-A88C-A9119CBD229A;EUR;1;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2019-12-20 15:53:43.573;dsUser;839BC496-41EE-43D0-96AB-61FE871D5C25;2019-12-20 15:53:43.573;dsUser
B90C8EB2-BDB3-4742-9085-B8F4AF0B2058;5;92008A13-4860-4BB2-97AB-BA0324B7A0F2;USD;1;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2019-12-20 15:53:43.603;dsUser;D4DE9131-DB22-45EA-82C9-4CFE8BC51630;2019-12-20 15:53:43.603;dsUser
695F0F77-DFFC-4208-B647-AD34E0763EE6;5;7A4DCF3A-3507-43A8-9291-A12F7EED232E;USD;1;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2019-12-20 15:53:43.620;dsUser;79AF6AC6-8DB8-4E74-ADE5-98EAB0CD6031;2019-12-20 15:53:43.620;dsUser
6AA3BDF8-01F0-401E-8F7B-8A8BE37627B8;5;B7F224FC-DA85-4DE3-AAE6-D4DAB468813D;EUR;1;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2019-12-20 15:53:43.633;dsUser;3D8991E5-1EBB-4AEF-9744-CB4EA855C8EF;2019-12-20 15:53:43.633;dsUser
D305C4D5-0AF3-4F29-9E1B-E8AA3D1E8CF6;5;CDA1DB7F-531E-40D7-ACD9-A77C0EB8D25B;USD;1;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2019-12-20 15:53:43.650;dsUser;23AC2CEA-DB11-4217-B60F-19723E3A4580;2019-12-20 15:53:43.650;dsUser
03B047BD-DB6A-487A-AE6A-C08A7B8390F4;5;27AD534E-4584-4268-98A7-9711C45DDA08;EUR;1;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2019-12-20 15:53:43.680;dsUser;434E9DBE-BCA4-4CBC-A2E1-5FF3E6690FB8;2019-12-20 15:53:43.680;dsUser
3F4DF836-0527-4E2D-9DCA-2294D45ACBFE;5;BCA68781-E039-4D58-AB47-E890E8E6858F;EUR;2;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-07 10:55:13.553;HJACQUEMIN;F309FF78-61CD-40B5-A55C-278752755A85;2020-01-07 10:55:13.553;HJACQUEMIN
C7E30826-4BF4-4FE7-99C4-07591C527AB7;5;37D2259F-CE30-41B2-AA71-98056A2C3742;EUR;1;4;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-08 15:11:59.743;HJACQUEMIN;7ED5B916-5A01-49FD-B655-2BFB3AD201E7;2020-01-08 15:11:59.743;HJACQUEMIN
FD06E5C2-FAB3-4A71-A5ED-2EC92F366063;5;1463CF5E-53D0-4250-90F5-1B1412D61789;EUR;1;3;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-10 12:01:06.707;HJACQUEMIN;323664C9-8298-498B-B1DB-19EDB7289EC1;2020-01-10 12:01:06.707;HJACQUEMIN
BE67371E-CC66-4263-994F-ACC1BEB0F895;5;61BFA201-E8CA-4955-BB32-5328DED9447A;EUR;2;2;1000.000000;1000.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:03.387;dsUser;1DD4D234-C41E-4A59-88B1-10ADA1F4342F;2020-01-22 18:27:03.387;dsUser
F47DE87D-F201-4760-B367-66B5D8E7885F;5;D466BDBE-BC56-4981-A71B-11472676162D;EUR;2;6;100000.000000;100000.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:03.480;dsUser;A57BE4A8-BEC6-4CA8-92AF-749E2F427593;2020-01-22 18:27:03.480;dsUser
36223733-B645-4F7E-A6CF-4767B9C5F9A8;5;1EA07ECC-7108-4EF0-8AD6-2B287FA8FCE2;EUR;2;10003;100000.000000;100000.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:03.510;dsUser;FC40FC9C-7C41-4E6D-9C33-57134C887A61;2020-01-22 18:27:03.510;dsUser
83DF2971-EADE-442B-A973-AF4645E34E8B;5;B86D7642-CB54-48CA-8866-F4348AA6C862;USD;1;402;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:03.700;dsUser;985273C6-B8F1-40D1-BBF1-764C4E82E476;2020-01-22 18:27:03.700;dsUser
99CD0AC5-9F7D-47A6-939F-3CB50E32E85A;5;F2BBD614-C510-4986-AC07-FF0755298BAB;EUR;2;10003;1000.000000;1000.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:03.730;dsUser;7394F2FC-2E57-47D4-9156-3A6B77D4D7F6;2020-01-22 18:27:03.730;dsUser
105B1A54-1C47-4B82-BEB8-AEC1F3A0E980;5;1F66F039-97C3-4FE9-B605-0CD80927E508;EUR;1;10003;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:03.760;dsUser;1CC93CA4-1AAA-4DE9-9910-03EEE179B07C;2020-01-22 18:27:03.760;dsUser
ABFD8504-8D7A-42F9-8E8A-35EA148FF9AD;5;3F81102E-1D98-4BAA-9373-618FF40FAF9F;JPY;1;10002;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:03.777;dsUser;2A6B1520-F012-4409-A761-313DF02500E4;2020-01-22 18:27:03.777;dsUser
C3304DE9-4B7D-4993-966F-62D15F686572;5;42919AD4-98AA-4CF5-A01B-71360DE29649;EUR;2;4;1000.000000;1000.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:03.807;dsUser;4CA6A000-B481-4164-815F-2EB3ECDBBB7D;2020-01-22 18:27:03.807;dsUser
8FB7103D-0C40-4AEE-9EFA-A1BEC16997FB;5;884A1D7E-F641-421D-86B5-6BB1C8B286FC;USD;1;402;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:03.997;dsUser;7053D8FC-1F24-47B8-95B6-6793FF89944A;2020-01-22 18:27:03.997;dsUser
299A43E7-A16F-43B5-926F-E5A92151FBCD;5;0BBD82B9-AAC6-4FE9-92A6-BBAB85FEC762;EUR;1;11;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.010;dsUser;E1FB4CC4-F284-4F05-B4DB-F81594F7907B;2020-01-22 18:27:04.010;dsUser
8D7E97AD-1C98-4073-8426-BEB3B2E8D22C;5;DADD15C8-B2E9-48BD-A8A5-4A0F167C09B5;USD;1;6;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.027;dsUser;E84F4087-9889-42B9-AEEB-080BCDD20623;2020-01-22 18:27:04.027;dsUser
BDF81F35-BD9B-44E4-8C1A-D8F483DCE944;5;9D998606-913A-471D-A557-41A401436C8C;EUR;1;8;35000.000000;35000.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.057;dsUser;EAB8A3B3-12C3-44E7-93D7-7D307BFA2354;2020-01-22 18:27:04.057;dsUser
A5CCB36D-3BBD-4ED0-94F7-DEF101F0C1D0;5;FE6F86E6-EC63-47B7-B817-1EC46233B069;USD;1;8;1500.000000;1500.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.150;dsUser;6D9B95AB-5E70-4196-8B9B-D9C1AA671E4E;2020-01-22 18:27:04.150;dsUser
344163AC-0F64-4FA6-ACC4-395E24B59609;5;DC5EB1CF-290B-4116-9071-9C461EBDDF63;USD;1;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.183;dsUser;EDEFC791-E1B8-434C-9995-9FCD7D49497E;2020-01-22 18:27:04.183;dsUser
D12B6EED-C6AB-436C-95ED-521E2A95B96B;5;C46862D1-C16F-488F-9D38-CDBD279ADF11;EUR;1;8;5000.000000;5000.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.200;dsUser;7A2B3AFC-C1D9-49E7-9633-79B516FB2BDE;2020-01-22 18:27:04.200;dsUser
514867B7-4473-40D9-9C2A-B5ECFF30615C;5;B1D0C2E4-0B5C-4EC4-95D8-16C186C9A75D;USD;1;8;5000.000000;5000.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.213;dsUser;671AC164-0559-4988-ADC0-B652A7F7C575;2020-01-22 18:27:04.213;dsUser
43A6BD66-8EEA-4509-A7B0-03AC22BA7CD9;5;AF02F7F1-ED43-413C-B1EA-8FA33CF3B49F;EUR;1;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.230;dsUser;951E02E7-9399-4F57-9781-A418829484AE;2020-01-22 18:27:04.230;dsUser
F8516665-04D7-4E7E-BF4A-0852E1D42DCF;5;4F2763A2-02B3-43C1-94AE-70AE75B1D72C;USD;1;8;2500.000000;2500.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.260;dsUser;0ACC907E-891B-4CBF-95D7-3F0E931E7A8D;2020-01-22 18:27:04.260;dsUser
F45C82C3-DB90-4594-81B1-54EB38107453;5;EF0AB28C-1F5A-41B9-A521-E379A199012C;EUR;1;8;2500.000000;2500.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.370;dsUser;679AF864-9BDB-49A8-BE90-23BC9B9CAE4B;2020-01-22 18:27:04.370;dsUser
5E0A87C2-64D3-43E2-A6E9-C310189C8A6F;5;11440332-4BF1-4F11-BD38-102CAA7D33F3;EUR;1;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.557;dsUser;3B024640-7950-4697-B652-A92EEC0C0CB9;2020-01-22 18:27:04.557;dsUser
EDF10406-2736-4FAD-9142-519754944B44;5;70256147-3F3C-426F-A02E-2F7F30633F91;EUR;1;8;1.000000;1.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.573;dsUser;29DFEDF3-9C9A-4DE1-B526-A4BFAD9618D3;2020-01-22 18:27:04.573;dsUser
C0766246-D545-414A-945A-D4516CDEA575;5;89B803C4-68F1-42A4-8EDA-43981A81B819;USD;1;8;1000.000000;1000.000000;BAPMSProdCatB.CQuotation;2020-01-22 18:27:04.590;dsUser;3627D550-AC8B-415D-888A-41A173DC43EB;2020-01-22 18:27:04.590;dsUser
