ObjID;AverageWeightedDuration;EndDate;FollowUpDate;IsDefault;LastChangeByUser;LastChangeOnDate;LongDescription;ManagementType;PortfolioExternalID;PortfolioID;PortfolioType;Profile;ShortDescription;StartDate;ValuationCurrency;ModifiedForHistory;ValidFrom;ValidUntil;ClassName;Created;CreatedBy;LockID;Modified;ModifiedBy;Notepad;CopyOf;PerspectiveID;LevelID;CompositionTypeID;IsCoveragePortfolio;SubPortfolioTypeID;ObjID_CPortfolio;InvestmentObjectiveID;LiquidationTypeID;TermsAndConditionsVersionID;CustodyTypeID;NomineeIndicatorID;CostClassificationID;AdvisedRiskProfileID;RiskProfileDate;AccountDefaultingID;SoftLink;NoManagementFeeCalculation;ObjID_CManagementFeeGroup;AverageWeightedYield;ModelPortfolioTypeID;ResetCalendarStartDate;ResetFrequency;LifeCycleStatusId;RegulationID;ExposureBasisID;TargetGrossLeverageFactor;InitialCompositionDate;FiscalYearEndDay;FiscalYearEndMonth;ObjID_CSeededPortfolio;UID;RiskProfileExpirationDate;AbilityToBearLossID;InvestmentHorizonID;RiskToleranceID
6A1BB793-08D3-4BF6-B34B-73F110034EB1;NULL;2008-06-23 00:00:00.000;2007-11-05 00:00:00.000;0;NULL;NULL;NULL;2;000190;NULL;1;3;P190;2007-11-05 00:00:00.000;EUR;2007-11-05 00:00:00.000;NULL;NULL;BAPMSPB.CPortfolio;2007-11-05 15:14:33.157;ADMIN_EXIMIUS;86252324-A382-4C6C-825E-FE244999AE85;2008-06-23 10:34:11.907;jan;NULL;NULL;NULL;NULL;NULL;NULL;1;6A1BB793-08D3-4BF6-B34B-73F110034EB1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL
06C7A162-CDCE-42B7-A811-2E08BD3AA90D;NULL;2012-07-20 00:00:00.000;2008-03-10 00:00:00.000;0;NULL;NULL;NULL;2;1000;NULL;1;1;De heer mr P.S. Zwart en mevrouw Y.M.L. Zwart-Haesen;2008-01-10 00:00:00.000;EUR;2008-03-10 00:00:00.000;NULL;NULL;BAPMSPB.CPortfolio;2008-01-10 18:16:21.263;jan;B829E3C3-34C3-4041-BA62-C3BC80FCF646;2012-07-20 15:26:59.827;JMOKWAKAMOLIPUMA;Bijlage D : last update nov/2010 ---- Last visit : VZ 09/2010;NULL;NULL;NULL;NULL;NULL;1;06C7A162-CDCE-42B7-A811-2E08BD3AA90D;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;NULL;NULL;NULL
F9E0B0E6-4891-4AAE-8A76-4B4903A2C9F4;NULL;NULL;2012-07-01 00:00:00.000;0;NULL;NULL;NULL;2;10001;NULL;1;603;WEALINS - 172150.002 - ML030032/33/34/36;2012-07-01 00:00:00.000;EUR;2025-03-24 00:00:00.000;NULL;NULL;BAPMSPB.CPortfolio;2012-07-01 00:00:00.000;JMOKWAKAMOLIPUMA;0E074835-8F33-4608-9794-6F29BDEA2408;2025-03-24 15:00:04.120;HJACQUEMIN;NULL;NULL;NULL;NULL;NULL;NULL;1;F9E0B0E6-4891-4AAE-8A76-4B4903A2C9F4;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL
45C44EE6-1EE2-4F63-ACF7-2CBF4E75C5F9;NULL;NULL;2013-03-05 00:00:00.000;0;NULL;NULL;NULL;2;10002;NULL;1;613;AG2R La Mondiale - 306756.001 - FD UMB 081 B;2013-03-01 00:00:00.000;EUR;2025-03-24 00:00:00.000;NULL;NULL;BAPMSPB.CPortfolio;2013-03-01 12:25:51.300;JMOKWAKAMOLIPUMA;B7A52659-8B52-4453-943D-8D018338E833;2025-03-24 15:01:23.907;HJACQUEMIN;WATCH MGT FEES, possibly related to previous year (problem MassMutual);NULL;NULL;NULL;NULL;NULL;1;45C44EE6-1EE2-4F63-ACF7-2CBF4E75C5F9;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;NULL;NULL;NULL;NULL
00655A29-A291-4353-8D63-14B1AB9604C2;NULL;2014-11-12 00:00:00.000;2013-03-01 00:00:00.000;0;NULL;NULL;NULL;2;10002-2;NULL;1;1;MassMutual 81-NM;2013-03-01 00:00:00.000;EUR;2013-03-01 00:00:00.000;NULL;NULL;BAPMSPB.CPortfolio;2013-03-01 12:31:06.730;JMOKWAKAMOLIPUMA;F9A52C8E-BE6F-4057-A4D0-F5E2C3E0E386;2014-11-12 11:38:44.237;EXIMIUS_SUPPORT1;NULL;NULL;NULL;NULL;NULL;NULL;1;00655A29-A291-4353-8D63-14B1AB9604C2;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;NULL;NULL;NULL;NULL
5987F80D-D600-4732-90E2-19A942EB0BC0;NULL;NULL;2013-02-05 00:00:00.000;0;NULL;NULL;NULL;2;10003;NULL;1;1;AG2R La Mondiale - 306756.002 - FD UMB 036 B;2013-01-07 00:00:00.000;EUR;2025-03-24 00:00:00.000;NULL;NULL;BAPMSPB.CPortfolio;2013-01-07 14:40:57.833;JMOKWAKAMOLIPUMA;CEC11889-D0E2-4DD4-BCA1-3694401AC87B;2025-03-24 15:02:10.110;HJACQUEMIN;NULL;NULL;NULL;NULL;NULL;NULL;1;5987F80D-D600-4732-90E2-19A942EB0BC0;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6;NULL;NULL;NULL;NULL
722FCD54-CAFF-4075-B1B1-7F574F30E5E6;NULL;2017-11-08 00:00:00.000;2015-06-16 00:00:00.000;0;NULL;NULL;NULL;2;10004;NULL;1;603;FOYER - 584008;2015-06-12 00:00:00.000;EUR;2017-03-14 00:00:00.000;NULL;NULL;BAPMSPB.CPortfolio;2015-06-12 00:00:00.000;JMOKWAKAMOLIPUMA;7854D086-3A72-403F-B0F4-8332EDBF7BA1;2017-11-08 11:56:34.787;HJACQUEMIN;NULL;NULL;NULL;NULL;NULL;NULL;1;722FCD54-CAFF-4075-B1B1-7F574F30E5E6;NULL;1;NULL;NULL;NULL;NULL;NULL;2015-06-11 00:00:00.000;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;NULL;NULL;NULL;NULL
A3350568-BC99-4F44-A3C7-1304CE383540;NULL;2020-11-17 00:00:00.000;2015-07-08 00:00:00.000;0;NULL;NULL;NULL;2;10005;NULL;1;603;WEALINS - 584009 - PS034095;2015-06-16 00:00:00.000;EUR;2019-11-19 00:00:00.000;NULL;NULL;BAPMSPB.CPortfolio;2015-06-16 09:50:20.020;JMOKWAKAMOLIPUMA;6BE2DBF3-4DDB-4EA1-9F7E-C4899957376E;2020-11-17 09:26:47.833;HJACQUEMIN;NULL;NULL;NULL;NULL;NULL;NULL;1;A3350568-BC99-4F44-A3C7-1304CE383540;NULL;1;NULL;NULL;NULL;NULL;NULL;2015-06-11 00:00:00.000;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8;NULL;NULL;NULL;NULL
944198BA-C8E5-4679-8216-345E4A5A72D3;NULL;2017-10-16 00:00:00.000;2015-06-16 00:00:00.000;0;NULL;NULL;NULL;2;10006;NULL;1;2;FOYER - 584010;2015-06-16 00:00:00.000;EUR;2017-03-14 00:00:00.000;NULL;NULL;BAPMSPB.CPortfolio;2015-06-16 11:13:00.007;JMOKWAKAMOLIPUMA;DED4D292-C871-4248-A725-411471A685D0;2017-10-16 15:23:23.403;HJACQUEMIN;NULL;NULL;NULL;NULL;NULL;NULL;1;944198BA-C8E5-4679-8216-345E4A5A72D3;NULL;1;NULL;NULL;NULL;NULL;NULL;2015-06-16 00:00:00.000;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9;NULL;NULL;NULL;NULL
4042C466-89E3-49CF-B18A-3C6F7C62CA60;NULL;2020-11-18 00:00:00.000;2015-08-04 00:00:00.000;0;NULL;NULL;NULL;2;10007;NULL;1;602;WEALINS - 584012 - PS034145;2015-08-04 00:00:00.000;EUR;2019-11-19 00:00:00.000;NULL;NULL;BAPMSPB.CPortfolio;2015-08-04 00:00:00.000;JMOKWAKAMOLIPUMA;FD2FE75A-DF3E-468B-B89C-EF610B648E78;2020-11-18 11:53:31.507;HJACQUEMIN;NULL;NULL;NULL;NULL;NULL;NULL;1;4042C466-89E3-49CF-B18A-3C6F7C62CA60;NULL;1;NULL;NULL;NULL;NULL;NULL;2015-08-04 00:00:00.000;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10;NULL;NULL;NULL;NULL
