CodeId;CodeLanguage;CodeCountry;ExternalCode;Caption;Created;CreatedBy;Modified;ModifiedBy;ValidFrom;ValidUntil;EnumCaption;FixCode;UniqueID;UpdateMask;OverridesCodeId
1;EN;EX;0001;Per unit;1900-01-01 00:00:00.000;BAIInstaller;2005-02-15 10:59:00.787;BAIInstaller;NULL;NULL;Perunit;NULL;pqt:1;0;NULL
1;EN;GB;0001;Per unit;1900-01-01 00:00:00.000;BAIInstaller;2005-02-15 10:59:00.787;BAIInstaller;NULL;NULL;Perunit;NULL;pqt:1;0;NULL
1;FR;BE;0001;Unitaire;1900-01-01 00:00:00.000;BAIInstaller;2005-02-15 10:59:00.787;BAIInstaller;NULL;NULL;Perunit;NULL;pqt:1;0;NULL
1;NL;BE;0001;Per stuk;1900-01-01 00:00:00.000;BAIInstaller;2005-02-15 10:59:00.787;BAIInstaller;NULL;NULL;Perunit;NULL;pqt:1;0;NULL
1;NL;NL;0001;Per unit;1900-01-01 00:00:00.000;BAIInstaller;2005-02-15 10:59:00.787;BAIInstaller;NULL;NULL;Perunit;NULL;pqt:1;0;NULL
2;EN;EX;0002;Nominal;1900-01-01 00:00:00.000;BAIInstaller;2005-02-15 10:59:00.787;BAIInstaller;NULL;NULL;Nominal;NULL;pqt:2;0;NULL
2;EN;GB;0002;Nominal;1900-01-01 00:00:00.000;BAIInstaller;2005-02-15 10:59:00.787;BAIInstaller;NULL;NULL;Nominal;NULL;pqt:2;0;NULL
2;FR;BE;0002;Nominal;1900-01-01 00:00:00.000;BAIInstaller;2005-02-15 10:59:00.787;BAIInstaller;NULL;NULL;Nominal;NULL;pqt:2;0;NULL
2;NL;BE;0002;Nominaal;1900-01-01 00:00:00.000;BAIInstaller;2005-02-15 10:59:00.787;BAIInstaller;NULL;NULL;Nominal;NULL;pqt:2;0;NULL
2;NL;NL;0002;Nominal;1900-01-01 00:00:00.000;BAIInstaller;2005-02-15 10:59:00.787;BAIInstaller;NULL;NULL;Nominal;NULL;pqt:2;0;NULL
3;EN;EX;0003;(EN)Per Value;2009-01-30 13:33:47.000;BAIInstaller;2009-01-30 13:41:04.000;BAIInstaller;NULL;NULL;Pervalue;NULL;pqt:3;0;NULL
3;EN;GB;0003;(EN)Per Value;2009-01-30 13:33:47.000;BAIInstaller;2009-01-30 13:41:04.000;BAIInstaller;NULL;NULL;Pervalue;NULL;pqt:3;0;NULL
3;FR;BE;0003;(FR)Per Value;2009-01-30 13:33:47.000;BAIInstaller;2009-01-30 13:41:04.000;BAIInstaller;NULL;NULL;Pervalue;NULL;pqt:3;0;NULL
3;NL;BE;0003;(NL)Per Value;2009-01-30 13:33:47.000;BAIInstaller;2009-01-30 13:41:04.000;BAIInstaller;NULL;NULL;Pervalue;NULL;pqt:3;0;NULL
3;NL;NL;0003;(EN)Per Value;2009-01-30 13:33:47.000;BAIInstaller;2009-01-30 13:41:04.000;BAIInstaller;NULL;NULL;Pervalue;NULL;pqt:3;0;NULL
