PortfolioID;PortfolioCurrency;SecurityID;SecurityCurrency;SecurityFullName;SecurityType;OptionClass;OptionStrikeDate;OptionStrikePrice;OptionCallPutIndicator;HoldingsDate;Quantity;Price;MarketValueInLocalCurrency;MarketValueInPortfolioCurrency;SecurityLongName;SecurityISIN;SecurityExchangeCode;SecurityMarketIdentificationCode;SecurityIsHelpFund;SecurityCorrectionalFraction;SecurityExpirationDate;SecurityContractSize;SecurityOptionStrikeCurrency;SecurityAdministrationUnit;SecurityOrderStream
0450144488;EUR;038894;EUR;VANGUARD EUR CORP BD;SHS;;;;;2024-10-18;412;48.94;20163.28;20163.28;VANGUARD EUR CORP BOND ETF DIS;IE00BZ163G84;ENA;XAMS;N;0;;;;ST;ORDERS AMSTERDAMSE BEURS
0450144488;EUR;039590;EUR;WOLTERS KLUWER;SHS;;;;;2024-10-18;20;159;3180;3180;WOLTERS KLUWER;NL0000395903;ENA;XAMS;N;0;;;;ST;ORDERS AMSTERDAMSE BEURS
0450144488;EUR;050282;EUR;ROYAL IMTECH;SHS;;;;;2024-10-18;4;0.01;0.04;0.04;ROYAL IMTECH @ EUR 5.00;NL0010886891;ENA;XAMS;N;0;;;;ST;ORDERS AMSTERDAMSE BEURS
0450144488;EUR;052763;GBP;ASHTEAD GROUP;SHS;;;;;2024-10-18;85;59.02;5016.7;6041.31;ASHTEAD GROUP;GB0000536739;0361;XLON;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;055934;EUR;LVMH;SHS;;;;;2024-10-18;6;623.2;3739.2;3739.2;LVMH;FR0000121014;EFP;XPAR;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;060186;EUR;DSM FIRMENICH;SHS;;;;;2024-10-18;40;118.1;4724;4724;DSM FIRMENICH;CH1216478797;ENA;XAMS;N;0;;;;ST;ORDERS AMSTERDAMSE BEURS
0450144488;EUR;061299;USD;EDWARDS LIFESCIENCES;SHS;;;;;2024-10-18;45;70.27;3162.15;2918.19;EDWARDS LIFESCIENCES CORP;US28176E1082;NAY;XNYS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;069629;USD;DANAHER;SHS;;;;;2024-10-18;13;274.38;3566.94;3291.75;DANAHER;US2358511028;NAY;XNYS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;071932;EUR;ASML  HOLDING;SHS;;;;;2024-10-18;6;664.5;3987;3987;ASML HOLDING;NL0010273215;ENA;XAMS;N;0;;;;ST;ORDERS AMSTERDAMSE BEURS
0450144488;EUR;078013;USD;SYNOPSYS;SHS;;;;;2024-10-18;7;507.03;3549.21;3275.39;SYNOPSYS;US8716071076;NAO;XNAS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;079481;USD;MICROSOFT;SHS;;;;;2024-10-18;20;418.16;8363.2;7717.98;MICROSOFT;US5949181045;NAO;XNAS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;079557;USD;THERMO FISHER SCIENT;SHS;;;;;2024-10-18;8;601.71;4813.68;4442.3;THERMO FISHER SCIENTIFIC;US8835561023;NAY;XNYS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;081568;EUR;ISH EUR GOV 10 15Y;SHS;;;;;2024-10-18;273;155.31;42399.63;42399.63;ISHARES EURO GOVERNMENT BD 10-15Y ETF;IE00B4WXJH41;ENA;XAMS;N;0;;;;ST;ORDERS AMSTERDAMSE BEURS
0450144488;EUR;090414;EUR;L OREAL;SHS;;;;;2024-10-18;10;372.7;3727;3727;L OREAL;FR0000120321;EFP;XPAR;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;090649;USD;APPLIED MATERIALS;SHS;;;;;2024-10-18;21;186.36;3913.56;3611.63;APPLIED MATERIALS;US0382221051;NAO;XNAS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;091573;USD;ADOBE;SHS;;;;;2024-10-18;5;494.9;2474.5;2283.59;ADOBE;US00724F1012;NAO;XNAS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;092895;USD;STRYKER CORP;SHS;;;;;2024-10-18;11;369.56;4065.16;3751.53;STRYKER CORP;US8636671013;NAY;XNYS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;093413;USD;COCA-COLA;SHS;;;;;2024-10-18;66;70.44;4649.04;4290.37;COCA-COLA CO;US1912161007;NAY;XNYS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;093892;USD;MARSH AND MCLENNAN;SHS;;;;;2024-10-18;5;224.66;1123.3;1036.64;MARSH AND MCLENNAN;US5717481023;NAY;XNYS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;094329;USD;SHERWIN WILLIAM;SHS;;;;;2024-10-18;5;388.36;1941.8;1791.99;SHERWIN-WILLIAMS CO;US8243481061;NAY;XNYS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;099567;USD;NIKE B;SHS;;;;;2024-10-18;30;82.92;2487.6;2295.68;NIKE B;US6541061031;NAY;XNYS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;201374;USD;NETFLIX;SHS;;;;;2024-10-18;3;763.89;2291.67;2114.87;NETFLIX;US64110L1061;NAO;XNAS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;201671;USD;ALPHABET A;SHS;;;;;2024-10-18;40;163.42;6536.8;6032.49;ALPHABET A;US02079K3059;NAO;XNAS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;202327;EUR;ISH SP 500 ENERGY;SHS;;;;;2024-10-18;415;8.36;3472.72;3472.72;ISHARES SP 500 ENERGY SECTOR ETF ACC;IE00B42NKQ00;0830;XETR;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;204086;CHF;STRAUMANN HOLDING;SHS;;;;;2024-10-18;27;130.6;3526.2;3756.87;STRAUMANN HOLDING;CH1175448666;0004;XSWX;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;204463;SEK;ATLAS COPCO A;SHS;;;;;2024-10-18;220;183.55;40381;3544.62;ATLAS COPCO A;SE0017486889;SSS;XSTO;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;204768;EUR;XT II EUR HY CORP;SHS;;;;;2024-10-18;1242;16.02;19906.78;19906.78;XTRACKER II EUR HY CORP BD 1D ETF DIS;LU1109942653;0830;XETR;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;204804;USD;AMAZON.COM;SHS;;;;;2024-10-18;38;188.99;7181.62;6627.56;AMAZON.COM;US0231351067;NAO;XNAS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;207476;USD;INTUITIVE SURGICAL;SHS;;;;;2024-10-18;8;521.15;4169.2;3847.55;INTUITIVE SURGICAL;US46120E6023;NAO;XNAS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;211689;CHF;CIE FIN RICHEMONT;SHS;;;;;2024-10-18;15;127.45;1911.75;2036.81;CIE FINANCIERE RICHEMONT;CH0210483332;0004;XSWX;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;212422;DKK;NOVO NORDISK B;SHS;;;;;2024-10-18;15;807.2;12108;1623.69;NOVO NORDISK B;DK0062498333;SDC;XCSE;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;215989;USD;NVIDIA CORP;SHS;;;;;2024-10-18;73;138;10074;9296.79;NVIDIA CORP;US67066G1040;NAO;XNAS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;217076;EUR;ROB GLB DYN DUR GH;SHS;;;;;2024-10-18;769;73.97;56882.93;56882.93;ROBECO GLOBAL DYNAMIC DURATION GH DIS;LU2819788618;ECF;ZFUN;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;217464;EUR;ROBECO QI EM I ACC;SHS;;;;;2024-10-18;75;126.58;9493.5;9493.5;ROBECO QI EMERGING MARKETS FUND I ACC;LU0951559524;ECF;ZFUN;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;217526;EUR;FIRST TRUST GLOBAL;SHS;;;;;2024-10-18;95;36.74;3490.3;3490.3;FIRST TRUST GLOBAL FUNDS ETF ACC;IE00BF16M727;0830;XETR;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;226343;USD;MASTERCARD;SHS;;;;;2024-10-18;10;516.34;5163.4;4765.04;MASTERCARD;US57636Q1040;NAY;XNYS;N;0;;;;ST;STP BUITENLANDSE BEURZEN
0450144488;EUR;226675;EUR;HERMES INTERN;SHS;;;;;2024-10-18;1;2089;2089;2089;HERMES INTERNATIONAL;FR0000052292;EFP;XPAR;N;0;;;;ST;STP BUITENLANDSE BEURZEN
