ObjID;CoverageRate;DefaultTradingStockExchange_ID;DefaultValuationStockExchange_ID;DefaultVSEQuotationType_ID;EmissionAccruedInterestsInclusive;EmissionAmount_Am;EmissionAmount_Iso;EmissionCurrency;EmissionDate;EmissionPercentage;EmissionQuotationType_ID;EndDate;FreeTxt;ID_Code1;ID_Code2;ID_CodeType_ID1;ID_CodeType_ID2;ISIN_Code;Latest_MarginAmount_Am;Latest_MarginAmount_Iso;OptionCharacter_ID;OptionExercisePrice_Am;OptionExercisePrice_Iso;OptionOptionType_ID;OptionUnderlyingFinancialInstrument_ObjID;OptionUnderlyingNumber;ProductGroup_ID;ProductName_1;ProductName_2;ProductName_3;RedemptionAmount_Am;RedemptionAmount_Iso;RedemptionDate;RedemptionPercentage;RedemptionType_ID;StartDate;Symbol;ModifiedForHistory;ValidFrom;ValidUntil;ClassName;Created;CreatedBy;LockID;Modified;ModifiedBy;StatusID;StatusReasonID;CommissionCategoryID;CrestSettlementID;JISAEligibleID;ISAEligibleID;RSPEnabledID;ProductClassificationRoutingID;ResID;AutoDealID;StampDutyMarkerID;MIFIDComplexTypeID;MIFIDTypeID;IssueClosingDate;PreRefundingDate;PreRefundingPrice;RiskPercentage;WarrantConversionRatio;TaxLotDetailDisabledID;ProductClassificationSettlementID;BuyingPowerCoverage;MarginLongCoverage;MarginShortCoverage;ProductTypeID;TaxTransferAllowed;DealByUnitOrValueID;LevyID;ObjID_CIssuer;RdrID;UcitsID;FundCompany;FundIncomeDistributionTypeID;FundIntroductionFeePercentage;FundLaunchDate;FundManagementFeePercentage;FundMinimumInvestedAmount;FundNAV;FundNAVLaunchDate;FundObjective;FundPromoter;FundShareClassTypeID;FundSize;ProductResearch;ManagementTypeBitFlag;OnlineTradingAllowed;Valuationpoint;USWithholdingTax;IsCommodityDerivative;UID;InvestmentHorizonID;RiskToleranceID;DealingCutOffNrDays;DealingCutOffNrMinutes;DealingFrequencyID;FundNotes;AbilityToBearLossBitFlag;InvestmentObjectiveBitFlag;ExternalCostGroupId
79CFB19F-673F-4C5F-948D-EC38ADC336F5;15.000000000;10004;10004;1;0;NULL;NULL;JPY;1900-01-01 00:00:00.000;NULL;1;NULL;;1864;NULL;3;9;JP3902900004;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;MITSUBISHI UFJ FINANCIAL GRP;MITSUBISHI UFJ FINANCIAL GRP;MITSUBISHI UFJ FINANCIAL GRP;NULL;NULL;NULL;NULL;NULL;1900-01-01 00:00:00.000;JP3902900004;1900-01-01 00:00:00.000;NULL;NULL;BAPMSProdCatB.CProduct_MainInfo;2018-09-25 12:37:16.817;JMOKWAKAMOLIPUMA;172F386C-1F38-45B5-9ACB-891383642F2C;2022-07-05 10:00:29.827;AX-130325;1;-1;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;0;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CBABD798-C24D-4062-9C15-8AFBBF184356;15.000000000;8;8;1;NULL;NULL;NULL;EUR;1900-01-01 00:00:00.000;NULL;1;NULL;;1866;NULL;3;9;LU1133293354;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NN L EURO SUSTAINABLE CREDIT;NN L EURO SUSTAINABLE CREDIT;NN L EURO SUSTAINABLE CREDIT;NULL;NULL;NULL;NULL;NULL;1900-01-01 00:00:00.000;LU1133293354;1900-01-01 00:00:00.000;NULL;NULL;BAPMSProdCatB.CProduct_MainInfo;2018-10-02 09:32:30.590;HJACQUEMIN;F471E2D0-9DEC-4AA2-AD56-284DA2B0958D;2022-07-05 10:00:29.827;AX-130325;1;-1;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;0;NULL;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
E0F293D0-BC11-4602-8B52-9956857BD9A1;15.000000000;3;3;1;NULL;NULL;NULL;EUR;1900-01-01 00:00:00.000;NULL;1;NULL;;1867;NULL;3;9;IE00B4L5YX21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;iSH CORE MSCI JAPAN UCITS ETF;iSH CORE MSCI JAPAN UCITS ETF;iSH CORE MSCI JAPAN UCITS ETF;NULL;NULL;NULL;NULL;NULL;1900-01-01 00:00:00.000;IE00B4L5YX21;1900-01-01 00:00:00.000;NULL;NULL;BAPMSProdCatB.CProduct_MainInfo;2018-10-26 09:49:33.860;HJACQUEMIN;6284767A-3A08-4AC8-ACEF-7B35A374F19F;2022-07-05 10:00:29.827;AX-130325;1;-1;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;3;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;0;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
A23298E4-C609-4455-8891-1780F73ECB10;15.000000000;10003;10003;1;NULL;NULL;NULL;EUR;1900-01-01 00:00:00.000;NULL;1;NULL;;1868;NULL;3;9;DE0005439004;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;CONTINENTAL AG;CONTINENTAL AG;CONTINENTAL AG;NULL;NULL;NULL;NULL;NULL;1900-01-01 00:00:00.000;DE0005439004;1900-01-01 00:00:00.000;NULL;NULL;BAPMSProdCatB.CProduct_MainInfo;2018-10-29 10:08:58.347;HJACQUEMIN;4C2A17FA-0F33-4F7D-9499-31F6BEA04572;2022-07-05 10:00:29.827;AX-130325;1;-1;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;0;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6D14E93A-0E07-48E6-A7E3-9A86FC3C0C36;15.000000000;7;7;1;NULL;NULL;NULL;EUR;1900-01-01 00:00:00.000;NULL;1;NULL;;1869;NULL;3;9;DE000A0Q4R28;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;iSH EUR 600 AUTO & PARTS UCITS ETF;iSH EUR 600 AUTO & PARTS UCITS ETF;iSH EUR 600 AUTO & PARTS UCITS ETF;NULL;NULL;NULL;NULL;NULL;1900-01-01 00:00:00.000;DE000A0Q4R28;1900-01-01 00:00:00.000;NULL;NULL;BAPMSProdCatB.CProduct_MainInfo;2018-10-29 10:17:15.267;HJACQUEMIN;9ECB4C25-1E29-470C-9471-CF9FF27BD442;2022-07-05 10:00:29.827;AX-130325;1;-1;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;3;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;0;NULL;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
F19DC280-D89D-4795-B8FC-2377184CF6EB;15.000000000;6;6;1;NULL;NULL;NULL;USD;1900-01-01 00:00:00.000;NULL;1;NULL;;1870;NULL;3;9;LU0333810181;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;GS INDIA EQUITY PORTFOLIO;GS INDIA EQUITY PORTFOLIO;GS INDIA EQUITY PORTFOLIO;NULL;NULL;NULL;NULL;NULL;1900-01-01 00:00:00.000;LU0333810181;1900-01-01 00:00:00.000;NULL;NULL;BAPMSProdCatB.CProduct_MainInfo;2018-10-29 10:32:58.017;HJACQUEMIN;BDDAFA7D-BB43-4F0F-A025-B568AC99048C;2022-07-05 10:00:29.827;AX-130325;1;-1;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;0;NULL;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
7595E83A-1748-4FA5-8C16-665401EA3A3E;15.000000000;402;402;1;0;NULL;NULL;USD;1900-01-01 00:00:00.000;NULL;1;NULL;;1871;NULL;3;9;US09290D1019;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;BLACKROCK INC;BLACKROCK INC;BLACKROCK INC;NULL;NULL;NULL;NULL;NULL;1900-01-01 00:00:00.000;US09247X1019;1900-01-01 00:00:00.000;NULL;NULL;BAPMSProdCatB.CProduct_MainInfo;2018-10-29 10:39:11.297;HJACQUEMIN;C423BFCD-37C5-4B21-A083-82046538419F;2024-10-14 16:06:17.527;HJACQUEMIN;1;-1;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;0;NULL;7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
AC1E7C61-9B77-48CC-B495-FD6546B8D1DD;15.000000000;8;8;2;0;NULL;NULL;USD;2018-02-07 00:00:00.000;NULL;2;2019-08-30 00:00:00.000;;1872;NULL;3;9;US63983TBL89;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;NEDER WATERSCHAPSBANK FLOAT 09-08-19;NEDER WATERSCHAPSBANK FLOAT 09-08-19;NEDER WATERSCHAPSBANK FLOAT 09-08-19;NULL;NULL;2019-08-09 00:00:00.000;100.000000000;5;2018-02-07 00:00:00.000;US63983TBL89;1900-01-01 00:00:00.000;NULL;NULL;BAPMSProdCatB.CProduct_MainInfo;2018-11-13 16:44:47.870;HJACQUEMIN;2D22A7D8-F995-462E-9763-3A5CED1DAB39;2022-07-05 10:00:29.827;AX-130325;2;-1;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;0;NULL;8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3DBCB6D2-966C-44AF-A9AD-80DAF8FB42B6;15.000000000;3;3;1;NULL;NULL;NULL;EUR;1900-01-01 00:00:00.000;NULL;1;NULL;;1826;NULL;3;9;IE00B8X9NY41;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;FT EUROZONE ALPHADEX UCITS ETF;FT EUROZONE ALPHADEX UCITS ETF;FT EUROZONE ALPHADEX UCITS ETF;NULL;NULL;NULL;NULL;NULL;1900-01-01 00:00:00.000;IE00B8X9NY41;1900-01-01 00:00:00.000;NULL;NULL;BAPMSProdCatB.CProduct_MainInfo;2018-05-08 10:59:55.023;HJACQUEMIN;84BE40AA-7109-463E-A31F-4E1BFF8EEB68;2022-07-05 10:00:29.827;AX-130325;1;-1;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;3;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;0;NULL;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
22444B47-C31C-4D65-A90B-A6A4369BFFD5;15.000000000;8;8;1;0;NULL;NULL;EUR;1900-01-01 00:00:00.000;NULL;1;2021-11-29 00:00:00.000;;1881;NULL;3;9;LU1772358146;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;SHELTER INVEST - ONE FUND;SHELTER INVEST - ONE FUND;SHELTER INVEST - ONE FUND;NULL;NULL;NULL;NULL;NULL;1900-01-01 00:00:00.000;LU1772358146;1900-01-01 00:00:00.000;NULL;NULL;BAPMSProdCatB.CProduct_MainInfo;2018-12-05 15:47:31.867;HJACQUEMIN;E1A346AA-F1A7-4AC6-92CE-381A94230BCF;2022-07-05 10:00:29.827;AX-130325;2;-1;NULL;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1;NULL;0;NULL;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
